Champ,Contenu
Nom,Claire Dubois
Âge,42
Poste,Souscriptrice senior en risques industriels
Entreprise,Compagnie d'assurance internationale
Localisation,Paris
Expérience,15 ans dans l'assurance, spécialisée en modélisation de risques
Niveau de connaissance,3
Niveau de compréhension,4
Taux de distraction,2
Objectifs professionnels,"Évaluer rapidement les risques liés à des contrats complexes; Croiser des données internes et externes; Gagner du temps sur les tâches répétitives; Collaborer efficacement avec les data analysts et actuaires"
Besoins fonctionnels,"Interfaces claires malgré la densité des données; Accès rapide aux historiques et benchmarks; Visualisation de scénarios; Personnalisation des vues"
Frustrations,"Interfaces trop techniques; Informations dispersées; Incohérences UI; Difficulté à collaborer avec les équipes tech"
Opportunités UX,"Composants modulaires adaptés; Parcours simplifiés; Aides contextuelles; Prototypes réalistes pour faciliter la communication"
